Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Páginas genéricas,Chrome 119.0.0.0,,,09-12-2023 11:11:05,09-12-2023 11:20:06,9m - 1.493s,FAILED
,,,,,,,
Test Cases/Páginas genéricas/G01 - Record,Chrome 119.0.0.0,,,09-12-2023 11:11:05,09-12-2023 11:11:24,19.460s,PASSED
"openBrowser(""https://www.record.pt/"")",Chrome 119.0.0.0,,,09-12-2023 11:11:05,09-12-2023 11:11:10,4.813s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 11:11:10,09-12-2023 11:11:10,0.150s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/span_CONCORDO""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:11:10,09-12-2023 11:11:12,1.442s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/span_CONCORDO""))",Chrome 119.0.0.0,,,09-12-2023 11:11:12,09-12-2023 11:11:12,0.566s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_AVANAR""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:11:12,09-12-2023 11:11:15,3.061s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_AVANAR""))",Chrome 119.0.0.0,,,09-12-2023 11:11:15,09-12-2023 11:11:16,1.134s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Cancelar""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:11:16,09-12-2023 11:11:17,0.348s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Cancelar""))",Chrome 119.0.0.0,,,09-12-2023 11:11:17,09-12-2023 11:11:17,0.403s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Benfica""))",Chrome 119.0.0.0,,,09-12-2023 11:11:17,09-12-2023 11:11:19,1.648s,PASSED
"click(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/span_CONCORDO""))",Chrome 119.0.0.0,,,09-12-2023 11:11:19,09-12-2023 11:11:20,0.836s,PASSED
"waitForElementVisible(findTestObject(""Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:11:20,09-12-2023 11:11:22,2.719s,PASSED
"rightClick(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""))",Chrome 119.0.0.0,,,09-12-2023 11:11:22,09-12-2023 11:11:24,1.194s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/h2_Benfica""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:11:24,09-12-2023 11:11:24,0.409s,PASSED
